"offerId","available","name","description","model","warranty","currencyId","categoryId","price","picture1","picture2","picture3","picture4"
"KiddiSvit-BX1012Z","true","Игровой набор  - Ловись, Рыбка (для игры в ванной,12 аксессуаров) BX1012Z","Малыш сможет отправиться в веселое морское путешествие вместе с этим красочным игровым набором. 
На борту этого яркого корабля, который может держаться на воде, живет веселый капитан, а в наборе так же есть 5 рыбок, осьминожек-расческа, кит-щеточка, 3 маленьких пасочки, крючок для ловли рыбы за хвостики и спасательный круг. 
Все эти фигурки можно хранить внутри кораблика. 
Упаковка презентационно-открытая. Размер: 33х22х21. 
Рекомендовано для детей в возрасте старше 12 месяцев.","BX1012Z","true","UAH","804","809","http://kidsjoy.com.ua/image/catalog/kimg12/7/igrovoj-nabor-lovis-rybka-dlya-igry-v-vannoj-12-aksessuarov-576592428.jpg","https://kiddisvit.ua/assets/images/products/98/BX1012Z_1.jpg","https://kiddisvit.ua/assets/images/products/98/BX1012Z_2.jpg","https://kiddisvit.ua/assets/images/products/98/BX1012Z_3.jpg"
"ERC-G-1001-B","true","Трехколесный велосипед Galileo Strollcycle Синий G-1001-B","<p>Революционный первый в своем роде детский трехколесный <strong>велосипед 2 в 1</strong>.<br />Совмещает в себе супер компактную коляску и трехколесный велосипед, ориентированный на комфорт малышей! и радость родителей Galileo бросает вызов воображению с его футуристичным дизайном будущего и практичной функциональностью.<br />Создан с любовью в истинном духе больших инноваций велососипед Galileo Strollcycle имеет все для комфортного покорения мира вашим малышом.<br />Уникальный запатентованный дизайн дополняется комфортными решениями, чтобы обеспечить малыша и его родителя всем для современной жизни &laquo;на ходу&raquo;</p>
<p><strong>Характеристики:</strong><br />Вес 6,5кг.<br />Возраст 10-36 месяцев.<br />Материал рамы Метал и пластик<br />Материал колес Полиуретан<br />Размер:<br />в сложенном виде - 75х23х49 см<br />в разложенном - 85х49х83 см<br />Высота от пола до сидения: 30 см<br />Диаметр колес:<br />переднее - 22 см<br />задние - 15,5 см</p>
<p><strong>Особенности:</strong><br />Родительская ручка регулируется по высоте.<br />Спинка сидения имеет 2 положения.<br />Отстегивающийся бампер<br />Съёмный солнцезащитный козырек<br />Подставка для ног<br />Возможность отключить управление передним колесом (ребенок не будет управлять велосипедом не смотря на манипуляции с рулем)<br />3 точечные ремни безопасности</p>","G-1001-B","true","UAH","794","2929","http://www.erc.ua/i/goods/G-1001-B.jpg","https://erc.ua/upload/uploaded_images/107/5db6d3abb770d_urigrun02898.jpg","https://erc.ua/upload/uploaded_images/558/5db6d3803d444_urigrun02931-1.jpg","https://erc.ua/upload/uploaded_images/305/5db6d31e89248_urigrun03027.jpg"
"AMIGO-LS-302(M)_BO","true","Cамокат Go Travel Speeder, черный с оранжевым, средний LS-302(M)_BO","Трехколесный самокат
«SPEEDER» средний
• Габаритные размеры 85-100*100*63
• Вес самоката 8,5 кг
• РU колеса 145 мм
• Стальная трубка и рама
• Деки из пропилена
• Резиновые рукоятки
• Ручной тормоз
• Выдерживает вес до 95 кг максимум","LS-302(M)_BO","true","UAH","795","2770","http://kidsjoy.com.ua/image/catalog/aimg9/7/camokat-go-travel-speeder-chernyj-s-orangevym-srednij-ls-302m_bo-570587707.jpg","0","0","0"
"AMIGO-90514","true","Экстремальные гонки Turboa со светом и звуком 23 см,серии Hot Wheels 90514","<p>Hot Wheels Экстримальные гонки Turboa - автомобили с крутыми характерными действиями - «движение и бросок удава». Захватывающее дух удовольствие! Кнопки активируют световые и звуковые эффекты.</p>
<p><br></p>
<iframe src=""//www.youtube.com/embed/pklPjfq-rfo"" width=""640"" height=""360"" frameborder=""0""></iframe><p><br></p>","90514","true","UAH","809","572","http://kidsjoy.com.ua/image/catalog/aimg1/8/ekstremalnye-gonki-turboa-so-svetom-i-zvukom-23-sm-serii-hot-wheels-90514-125290995.jpg","http://kidsjoy.com.ua/image/cache/catalog/amigo/hot-wheels-011543905141-ekstremalni-gonki-turboa-zi-svitlom-ta-zvukom-23-sm-90514-11872161558525-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/amigo/hot-wheels-011543905141-ekstremalni-gonki-turboa-zi-svitlom-ta-zvukom-23-sm-90514-25492171450229-800x800.png","0"
"AMIGO-LS-302(M)_SB","true","Cамокат Go Travel Speeder, серебристо-голубой, средний LS-302(M)_SB","Трехколесный самокат
«SPEEDER» средний
• Габаритные размеры 85-100*100*63
• Вес самоката 8,5 кг
• РU колеса 145 мм
• Стальная трубка и рама
• Деки из пропилена
• Резиновые рукоятки
• Ручной тормоз
• Выдерживает вес до 95 кг максимум","LS-302(M)_SB","true","UAH","795","2770","http://kidsjoy.com.ua/image/catalog/aimg9/1/camokat-go-travel-speeder-serebristo-goluboj-srednij-ls-302m_sb-686900918.jpg","0","0","0"
"AMIGO-8855G","true","Кукла Dolls World с набором для купания , 38 см 8855G","Этот классический пупс с ванночкой и набором для купания непременно придется по душу любой девчушке.
С этим набором ваша малышка сможет почувствовать себя настоящей мамочкой – искупать малыша, сменить ему подгузник и принарядить в милую банную повязочку, идущую в комплекте.
В набор входят следующие аксессуары для купания:
игрушечная ванночка, полотенце, текстильный подгузник,банная повязка ля волос, виниловая уточка, мыло и 6 разнообразных баночек со средствами для купания и ухода.
","8855G","true","UAH","810","687","http://kidsjoy.com.ua/image/catalog/aimg15/2/kukla-dolls-world-s-naborom-dlya-kupaniya-38-sm-8855g-182543878.jpg","http://kidsjoy.com.ua/image/catalog/aimg15/2/kukla-dolls-world-s-naborom-dlya-kupaniya-38-sm-8855g-97300990.jpg","0","0"
"AMIGO-33091","true","Монстер трак ""Snakebite"", 18 см  33091","Нажмите кнопки, чтобы включить моторизованный привод,
огни и звуки.
С 3 лет
Требуются батарейки: 2 шт. ААА (включены).","33091","true","UAH","809","291","http://kidsjoy.com.ua/image/catalog/aimg1/9/monster-trak-snakebite-18-sm-33091-503115371.jpg","http://kidsjoy.com.ua/image/catalog/aimg1/9/monster-trak-snakebite-18-sm-33091-206766266.jpg","0","0"
"AMIGO-10312","true","Самосвал  ""Go Grippers""  10312","Развивающая игрушка самосвал «OBall» из линейки «Go Grippers».
Сотообразный тент кузова позволит сделать тематические игры в погрузочно-разгрузочные работы более занимательными, поскольку тент подвижный – его можно открывать и закрывать.
Платформа грузовика имеет запорное устройство, поэтому игрушку легко
захватить и перенести в нужное место.
Большие функциональные колеса позволят покатать игрушку по местности и доставить содержимое кузова в конечный пункт для разгрузки.
Игрушка совместима с другими игрушками «OBall» из линейки «Go Grippers»
От 18 месяцев.","10312","true","UAH","1084","368","http://kidsjoy.com.ua/image/cache/catalog/aimg1/samosval-go-grippers-10312-460322252-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/samosval-go-grippers-10312-132714357-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/samosval-go-grippers-10312-739868786-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/samosval-go-grippers-10312-428488553-800x800.jpg"
"AMIGO-10313","true","Погрузчик ""Go Grippers"" 10313","Развивающая игрушка трактор «OBall» из линейки «Go Grippers» имитирует действия настоящего трактора-погрузчика - ковш поднимается и опускается.
Благодаря чему, с помощью ковша, можно выполнять определенные строительные и погрузочно-разгрузочные работы, передвигать предметы на нужное расстояние.
Большие функциональные колеса позволят покатать игрушку по местности,что еще более разнообразит игру.
Игрушка совместима с другими игрушками «OBall» из линейки «Go Grippers»
От 18 месяцев.","10313","true","UAH","1084","368","http://kidsjoy.com.ua/image/cache/catalog/aimg1/pogruzchik-go-grippers-10313-474879796-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/pogruzchik-go-grippers-10313-203149235-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/pogruzchik-go-grippers-10313-262787180-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/pogruzchik-go-grippers-10313-491645487-800x800.jpg"
"AMIGO-80466","true","Игрушка-конструктор с отверткой Самосвал Гарри, 24 см  Toy State 80466","Включает моторизированную отвертку для легкой сборки и снятия деталей.
Oт 3 лет
Для игрушки батарейки не требуются.
Для отвертки необходимы батарейки 2*АА (в комплект не входят)
Комплектация: 9 деталей","80466","true","UAH","1084","818","http://kidsjoy.com.ua/image/cache/catalog/aimg1/igrushka-konstruktor-s-otvertkoj-samosval-garri-24-sm-toy-state-80466-248332187-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/igrushka-konstruktor-s-otvertkoj-samosval-garri-24-sm-toy-state-80466-306320439-800x800.jpg","http://kidsjoy.com.ua/image/cache/catalog/aimg1/igrushka-konstruktor-s-otvertkoj-samosval-garri-24-sm-toy-state-80466-420241642-800x800.jpg","#N/A"
